"year";"city";"overall";"rankings";"student_mix";"desirability";"emp_activity";"affordability";"student_view";"unis_Ranked";"highestUniv";"population";"avgIntFees";"country";"continent"
"2015";"Philadelphia";344;49;71;62;65;61;36;"3";"University of Pennsylvania ";"6051000";"43100";"United States";"North America"
"2017";"Adelaide";344;25;52;82;91;40;54;"3";"University of Adelaide ";"1317000";"25400";"Australia";"Oceania"
"2016";"Coventry";342;25;63;49;94;46;65;"2";"University of Warwick ";"652000";"24300";"United Kingdom";"Europe"
"2017";"Brussels";341;55;40;67;76;35;68;"2";"Vrije Universiteit Brussel (VUB) ";"1830000";"2400";"Belgium";"Europe"
"2018";"Nottingham";341;41;46;48;76;43;87;"2";"University of Nottingham ";"1543000";"18900";"United Kingdom";"Europe"
"2015";"Helsinki";340;62;45;91;62;49;31;"2";"University of Helsinki ";"1442000";"22900";"Finland";"Europe"
"2016";"Lyon";340;75;27;60;72;40;66;"5";"Ecole Normale Supérieure de Lyon ";"2238000";"300";"France";"Europe"
"2017";"Chicago";337;9;73;70;68;73;44;"5";"University of Chicago ";"9551000";"40700";"United States";"North America"
"2016";"Kuala Lumpur";336;96;44;40;46;34;76;"4";"Universiti Malaya (UM) ";"7200000";"3400";"Malaysia";"Asia"
"2018";"Brussels";336;52;50;65;78;35;56;"2";"Vrije Universiteit Brussel (VUB) ";"1830000";"2400";"Belgium";"Europe"
"2016";"Los Angeles";335;17;78;62;72;54;52;"3";"California Institute of Technology (Caltech) ";"13131000";"38200";"United States";"North America"
"2017";"Stockholm";335;1;74;93;63;55;49;"4";"KTH Royal Institute of Technology ";"2100000";"23800";"Sweden";"Europe"
"2017";"Los Angeles";334;10;76;73;69;68;38;"3";"California Institute of Technology (Caltech) ";"13131000";"38200";"United States";"North America"
"2014";"Philadelphia";333;45;60;60;58;74;36;"3";"University of Pennsylvania ";"6051000";"43100";"United States";"North America"
"2016";"Helsinki";333;67;51;84;53;47;31;"2";"University of Helsinki ";"1442000";"22900";"Finland";"Europe"
"2018";"Budapest";333;100;55;52;40;9;77;"3";"Eötvös Lorà University ";"3304000";"3200";"Hungary";"Europe"
"2014";"Mexico City";332;92;59;55;23;60;43;"8";"Universidad Nacional Autónoma de México (UNAM) ";"8919000";"6300";"Mexico";"Latin America"
"2015";"Santiago";332;68;89;53;45;42;35;"5";"Pontificia Universidad Católica de Chile ";"7200000";"6700";"Chile";"Latin America"
"2016";"Gothenburg";332;33;51;73;67;34;74;"2";"Chalmers University of Technology ";"982000";"17400";"Sweden";"Europe"
"2016";"Glasgow";330;28;44;55;77;43;83;"2";"University of Glasgow ";"2300000";"23800";"United Kingdom";"Europe"
"2018";"Lisbon";329;61;57;62;68;28;53;"3";"University of Lisbon ";"2822000";"4700";"Portugal";"Europe"
"2018";"Birmingham";325;38;53;53;73;44;64;"2";"University of Birmingham ";"3701000";"21400";"United Kingdom";"Europe"
"2017";"Lisbon";324;60;53;60;62;28;61;"3";"University of Lisbon ";"2822000";"4700";"Portugal";"Europe"
"2015";"Mexico City";323;83;85;33;32;47;43;"8";"Universidad Nacional Autónoma de México (UNAM) ";"8919000";"6300";"Mexico";"Latin America"
"2015";"Pittsburgh";321;56;50;63;75;49;28;"2";"Carnegie Mellon University ";"2361000";"41200";"United States";"North America"
"2016";"Brno";321;68;32;49;73;3;96;"2";"Masaryk University ";"810000";"5300";"Czech Republic";"Europe"
"2018";"Mexico City";321;74;86;25;38;51;47;"8";"Universidad Nacional Autónoma de México (UNAM) ";"8919000";"6300";"Mexico";"Latin America"
"2015";"Kyoto";319;64;72;75;57;51;0;"7";"Kyoto University ";"19342000";"6500";"Japan";"Asia"
"2016";"Rome";319;66;33;51;69;30;70;"3";"Sapienza - Università di Roma ";"4321000";"1000";"Italy";"Europe"
"2017";"Perth";319;17;44;81;76;38;63;"3";"University of Western Australia (UWA) ";"2039000";"24900";"Australia";"Oceania"
"2014";"Santiago";318;65;80;51;30;57;35;"5";"Pontificia Universidad Católica de Chile ";"7200000";"6700";"Chile";"Latin America"
"2016";"Lisbon";318;74;39;60;64;24;57;"3";"University of Lisbon ";"2822000";"4700";"Portugal";"Europe"
"2014";"Helsinki";317;70;45;62;46;63;31;"2";"University of Helsinki ";"1442000";"22900";"Finland";"Europe"
"2018";"Warsaw";315;77;65;49;41;10;73;"2";"University of Warsaw ";"3106000";"3600";"Poland";"Europe"
"2016";"Warsaw";314;85;41;55;48;16;69;"2";"University of Warsaw ";"3106000";"3600";"Poland";"Europe"
"2017";"Mexico City";311;82;82;25;33;51;38;"8";"Universidad Nacional Autónoma de México (UNAM) ";"8919000";"6300";"Mexico";"Latin America"
"2016";"Oslo";310;30;44;79;65;31;61;"2";"University of Oslo ";"1718000";"5100";"Norway";"Europe"
"2017";"Warsaw";310;83;49;54;43;16;65;"2";"University of Warsaw ";"3106000";"3600";"Poland";"Europe"
"2017";"Gothenburg";309;8;51;72;63;36;79;"2";"Chalmers University of Technology ";"982000";"17400";"Sweden";"Europe"
"2017";"Oslo";308;17;44;80;63;34;70;"2";"University of Oslo ";"1718000";"5100";"Norway";"Europe"
"2017";"Birmingham";307;33;51;61;68;44;50;"2";"University of Birmingham ";"3701000";"21400";"United Kingdom";"Europe"
"2016";"Mexico City";306;77;85;26;28;47;43;"8";"Universidad Nacional Autónoma de México (UNAM) ";"8919000";"6300";"Mexico";"Latin America"
"2018";"Aberdeen";306;47;38;53;79;34;55;"2";"University of Aberdeen ";"196670";"";"United Kingdom";"Europe"
"2018";"Bangkok";306;74;62;33;22;38;77;"5";"Chulalongkorn University ";"14566000";"3300";"Thailand";"Asia"
"2017";"Newcastle Upon Tyne";305;42;23;53;85;54;48;"3";"Durham University ";"1650000";"22100";"United Kingdom";"Europe"
"2017";"Budapest";304;81;41;54;40;9;79;"3";"Eötvös Lorà University ";"3304000";"3200";"Hungary";"Europe"
"2018";"Newcastle Upon Tyne";304;43;27;47;83;52;52;"3";"Durham University ";"1650000";"22100";"United Kingdom";"Europe"
"2016";"Philadelphia";303;19;70;54;64;60;36;"3";"University of Pennsylvania ";"6051000";"43100";"United States";"North America"
"2018";"Gothenburg";303;9;57;65;68;36;68;"2";"Chalmers University of Technology ";"982000";"17400";"Sweden";"Europe"
"2018";"Stuttgart";303;76;50;67;73;25;12;"2";"Universität Stuttgart ";"623738";" 300";"Germany";"Europe"
"2017";"Bangkok";302;64;61;28;21;38;90;"5";"Chulalongkorn University ";"14566000";"3300";"Thailand";"Asia"
"2018";"Philadelphia";302;11;68;58;64;60;41;"3";"University of Pennsylvania ";"6051000";"43100";"United States";"North America"
"2016";"Birmingham";301;23;53;56;70;42;57;"2";"University of Birmingham ";"3701000";"21400";"United Kingdom";"Europe"
"2018";"Washington DC";301;13;36;75;68;47;62;"5";"University of Maryland, College Park ";"6098000";"39600";"United States";"North America"
"2017";"Brno";300;61;22;45;73;2;97;"2";"Masaryk University ";"810000";"5300";"Czech Republic";"Europe"
"2018";"Dubai-Sharjah-Ajman";299;43;25;66;76;17;72;"3";"American University of Sharjah ";"5600000";"21200";"United Arab Emirates";"Asia"
"2016";"Santiago";298;51;84;49;38;41;35;"5";"Pontificia Universidad Católica de Chile ";"7200000";"6700";"Chile";"Latin America"
"2018";"Atlanta";296;23;53;55;59;52;54;"3";"Georgia Institute of Technology ";"5523000";"35700";"United States";"North America"
"2018";"Santiago";296;39;84;38;45;45;45;"5";"Pontificia Universidad Católica de Chile ";"7200000";"6700";"Chile";"Latin America"
"2017";"Philadelphia";295;9;69;61;63;62;31;"3";"University of Pennsylvania ";"6051000";"43100";"United States";"North America"
"2018";"Brno";295;53;27;42;76;3;94;"2";"Masaryk University ";"810000";"5300";"Czech Republic";"Europe"
"2016";"Atlanta";293;28;50;61;64;51;39;"3";"Georgia Institute of Technology ";"5523000";"35700";"United States";"North America"
"2017";"Helsinki";293;44;34;91;53;49;22;"2";"University of Helsinki ";"1442000";"22900";"Finland";"Europe"
"2018";"Oslo";292;21;46;76;64;34;51;"2";"University of Oslo ";"1718000";"5100";"Norway";"Europe"
"2018";"Rome";291;51;19;54;64;31;72;"3";"Sapienza - Università di Roma ";"4321000";"1000";"Italy";"Europe"
"2015";"Osaka";289;71;46;84;42;46;0;"7";"Kyoto University ";"19342000";"6500";"Japan";"Asia"
"2016";"Christchurch";289;63;44;70;69;28;15;"2";"University of Canterbury ";"390000";"21000";"New Zealand";"Oceania"
"2016";"Newcastle Upon Tyne";284;26;20;52;84;52;50;"3";"Durham University ";"1650000";"22100";"United Kingdom";"Europe"
"2016";"Pittsburgh";283;28;53;54;71;49;28;"2";"Carnegie Mellon University ";"2361000";"41200";"United States";"North America"
"2014";"Kyoto";282;62;69;30;50;71;0;"7";"Kyoto University ";"19342000";"6500";"Japan";"Asia"
"2016";"Sao Paulo";278;55;81;27;33;50;32;"6";"Universidade de São Paulo (USP) ";"21091000";"2200";"Brazil";"Latin America"
"2018";"Pittsburgh";278;27;53;47;72;53;26;"2";"Carnegie Mellon University ";"2361000";"41200";"United States";"North America"
"2017";"Pittsburgh";277;27;49;52;68;51;30;"2";"Carnegie Mellon University ";"2361000";"41200";"United States";"North America"
"2017";"Santiago";277;44;77;42;40;49;25;"5";"Pontificia Universidad Católica de Chile ";"7200000";"6700";"Chile";"Latin America"
"2017";"Riyadh";276;88;28;26;49;26;59;"2";"King Saud University ";"7125000";"500";"Saudi Arabia";"Asia"
"2018";"Christchurch";276;46;37;64;73;29;27;"2";"University of Canterbury ";"390000";"21000";"New Zealand";"Oceania"
"2018";"Sao Paulo";273;54;72;23;38;52;34;"6";"Universidade de São Paulo (USP) ";"21091000";"2200";"Brazil";"Latin America"
"2017";"Atlanta";272;23;53;57;61;54;24;"3";"Georgia Institute of Technology ";"5523000";"35700";"United States";"North America"
"2017";"Rome";272;48;9;54;62;32;67;"3";"Sapienza - Università di Roma ";"4321000";"1000";"Italy";"Europe"
"2017";"Athens";271;76;43;46;47;20;39;"3";"National Technical University of Athens ";"3754000";"800";"Greece";"Europe"
"2017";"Toulouse";271;67;29;50;76;17;32;"3";"Université Paul Sabatier Toulouse III ";"1292000";"500";"France";"Europe"
"2018";"Cape Town";269;67;1;42;48;33;78;"2";"University of Cape Town ";"433688";"6000";"South Africa";"Africa"
"2016";"Hsinchu";268;84;40;46;50;37;11;"2";"National Tsing Hua University ";"435000";"2300";"Taiwan";"Asia"
"2018";"Riyadh";268;92;27;23;53;26;47;"2";"King Saud University ";"7125000";"500";"Saudi Arabia";"Asia"
"2018";"Hsinchu";267;89;43;32;52;36;15;"2";"National Tsing Hua University ";"435000";"2300";"Taiwan";"Asia"
"2017";"Sao Paulo";266;51;77;26;31;52;29;"6";"Universidade de São Paulo (USP) ";"21091000";"2200";"Brazil";"Latin America"
"2018";"Tomsk";264;90;40;15;57;24;38;"2";"Tomsk State University ";"525000";"3300";"Russia";"Asia"
